FILE	NUM_READS	READS_WITH_DUP	DUP_RATIO
10-Kapa-100ng-2_S10_L005_R1_001	25801617	1401641	0.0543238
10-Kapa-100ng-2_S10_L006_R1_001	25207432	1373021	0.0544689
10-Kapa-100ng-2_S10_L007_R1_001	24466845	1262147	0.051586
10-Kapa-100ng-2_S10_L008_R1_001	24319484	1294397	0.0532247
11-Kapa-100ng-3_S11_L005_R1_001	28058818	1513737	0.0539487
11-Kapa-100ng-3_S11_L006_R1_001	27342453	1480218	0.0541363
11-Kapa-100ng-3_S11_L007_R1_001	26530276	1362866	0.0513702
11-Kapa-100ng-3_S11_L008_R1_001	26361730	1391024	0.0527668
12-Kapa-100ng-4_S12_L005_R1_001	34703918	1881671	0.0542207
12-Kapa-100ng-4_S12_L006_R1_001	33879801	1845477	0.0544713
12-Kapa-100ng-4_S12_L007_R1_001	32891800	1695237	0.0515398
12-Kapa-100ng-4_S12_L008_R1_001	32627300	1729657	0.0530126
13-Kapa-10ng-1_S13_L005_R1_001	78043850	8342365	0.106893
13-Kapa-10ng-1_S13_L006_R1_001	78509844	8756381	0.111532
13-Kapa-10ng-1_S13_L007_R1_001	76468094	8333800	0.108984
13-Kapa-10ng-1_S13_L008_R1_001	75575070	8243582	0.109078
14-Kapa-10ng-2_S14_L005_R1_001	74480020	5322989	0.0714687
14-Kapa-10ng-2_S14_L006_R1_001	74447719	5410325	0.0726728
14-Kapa-10ng-2_S14_L007_R1_001	72432873	5095580	0.070349
14-Kapa-10ng-2_S14_L008_R1_001	71472148	5061282	0.0708147
15-Kapa-10ng-3_S15_L005_R1_001	50399419	7561910	0.15004
15-Kapa-10ng-3_S15_L006_R1_001	50695810	8097162	0.159721
15-Kapa-10ng-3_S15_L007_R1_001	49349587	7774677	0.157543
15-Kapa-10ng-3_S15_L008_R1_001	48666323	7623851	0.156656
16-Kapa-10ng-4_S16_L005_R1_001	65261697	5334604	0.0817417
16-Kapa-10ng-4_S16_L006_R1_001	65746273	5585241	0.0849514
16-Kapa-10ng-4_S16_L007_R1_001	64055365	5279800	0.0824256
16-Kapa-10ng-4_S16_L008_R1_001	63225723	5240217	0.0828811
25-Nextera-100ng-1_S1_L001_R1_001	46816322	1458609	0.031156
25-Nextera-100ng-1_S1_L002_R1_001	47451004	1383927	0.0291654
