Sample	Top over-represented sequence	Sum of remaining over-represented sequences
1-Swift2S-100ng-1_S5_L005_R1_001	1.8957711718484354	0.1868248301430535
1-Swift2S-100ng-1_S5_L005_R2_001	1.917244510348869	0.19104414653059076
1-Swift2S-100ng-1_S5_L006_R1_001	1.8695753196912246	0.18217450309128735
1-Swift2S-100ng-1_S5_L006_R2_001	1.8793054619834608	0.18402575858464942
1-Swift2S-100ng-1_S5_L007_R1_001	1.9223826541685456	0.19031565868264688
1-Swift2S-100ng-1_S5_L007_R2_001	1.9601410370521006	0.19701117024653048
1-Swift2S-100ng-1_S5_L008_R1_001	1.8679330146543518	0.1783229096179526
1-Swift2S-100ng-1_S5_L008_R2_001	1.8893964186475927	0.17308043206812052
10-Kapa-100ng-2_S10_L005_R1_001	0.12236054817804637	0.0
10-Kapa-100ng-2_S10_L005_R2_001	0.12904617567185808	0.0
10-Kapa-100ng-2_S10_L006_R1_001	0.1348610203530451	0.0
10-Kapa-100ng-2_S10_L006_R2_001	0.1423588091004272	0.0
10-Kapa-100ng-2_S10_L007_R1_001	0.13554260878343732	0.0
10-Kapa-100ng-2_S10_L007_R2_001	0.14237634643943672	0.0
10-Kapa-100ng-2_S10_L008_R1_001	0.13251925904348957	0.0
10-Kapa-100ng-2_S10_L008_R2_001	0.13745768619103924	0.0
11-Kapa-100ng-3_S11_L005_R1_001	0.3221874848755211	0.0
11-Kapa-100ng-3_S11_L005_R2_001	0.337515999426633	0.0
11-Kapa-100ng-3_S11_L006_R1_001	0.3558239635631814	0.0
11-Kapa-100ng-3_S11_L006_R2_001	0.37265493333754657	0.0
11-Kapa-100ng-3_S11_L007_R1_001	0.3550509613997231	0.0
11-Kapa-100ng-3_S11_L007_R2_001	0.3702826159818315	0.0
11-Kapa-100ng-3_S11_L008_R1_001	0.34826242435530597	0.0
11-Kapa-100ng-3_S11_L008_R2_001	0.35698719317738253	0.0
12-Kapa-100ng-4_S12_L005_R1_001	0.1279192741292208	0.0
12-Kapa-100ng-4_S12_L005_R2_001	0.1339675825651732	0.0
12-Kapa-100ng-4_S12_L006_R1_001	0.1424624660575781	0.0
12-Kapa-100ng-4_S12_L006_R2_001	0.14849851095642502	0.0
12-Kapa-100ng-4_S12_L007_R1_001	0.14242151539289427	0.0
12-Kapa-100ng-4_S12_L007_R2_001	0.1483135614347649	0.0
12-Kapa-100ng-4_S12_L008_R1_001	0.13996254670168845	0.0
12-Kapa-100ng-4_S12_L008_R2_001	0.1436373834181805	0.0
13-Kapa-10ng-1_S13_L005_R1_001	5.03759873455756	0.4382395281626934
13-Kapa-10ng-1_S13_L005_R2_001	5.291805824546072	0.47772374120446415
13-Kapa-10ng-1_S13_L006_R1_001	5.66390757317006	0.4587845060550624
