Sample	Unique Reads	Duplicate Reads
1-Swift2S-100ng-1_S5_L005_R1_001	50099863.0	5904470.0
1-Swift2S-100ng-1_S5_L005_R2_001	50556128.0	5448205.0
1-Swift2S-100ng-1_S5_L006_R1_001	50879724.0	5676489.0
1-Swift2S-100ng-1_S5_L006_R2_001	51341945.0	5214268.0
1-Swift2S-100ng-1_S5_L007_R1_001	50485845.0	5297794.0
1-Swift2S-100ng-1_S5_L007_R2_001	51203343.0	4580296.0
1-Swift2S-100ng-1_S5_L008_R1_001	50851850.0	5075905.0
1-Swift2S-100ng-1_S5_L008_R2_001	51002521.0	4925234.0
10-Kapa-100ng-2_S10_L005_R1_001	24187556.0	1614061.0
10-Kapa-100ng-2_S10_L005_R2_001	24437999.0	1363618.0
10-Kapa-100ng-2_S10_L006_R1_001	23576964.0	1630468.0
10-Kapa-100ng-2_S10_L006_R2_001	23958529.0	1248903.0
10-Kapa-100ng-2_S10_L007_R1_001	22985485.0	1481360.0
10-Kapa-100ng-2_S10_L007_R2_001	23314258.0	1152587.0
10-Kapa-100ng-2_S10_L008_R1_001	22929952.0	1389532.0
10-Kapa-100ng-2_S10_L008_R2_001	23005955.0	1313529.0
11-Kapa-100ng-3_S11_L005_R1_001	26228403.0	1830415.0
11-Kapa-100ng-3_S11_L005_R2_001	26535990.0	1522828.0
11-Kapa-100ng-3_S11_L006_R1_001	25542224.0	1800229.0
11-Kapa-100ng-3_S11_L006_R2_001	25923827.0	1418626.0
11-Kapa-100ng-3_S11_L007_R1_001	24818974.0	1711302.0
11-Kapa-100ng-3_S11_L007_R2_001	25178725.0	1351551.0
11-Kapa-100ng-3_S11_L008_R1_001	24794565.0	1567165.0
11-Kapa-100ng-3_S11_L008_R2_001	24856373.0	1505357.0
12-Kapa-100ng-4_S12_L005_R1_001	32424232.0	2279686.0
12-Kapa-100ng-4_S12_L005_R2_001	32763256.0	1940662.0
12-Kapa-100ng-4_S12_L006_R1_001	31621987.0	2257814.0
12-Kapa-100ng-4_S12_L006_R2_001	32105786.0	1774015.0
12-Kapa-100ng-4_S12_L007_R1_001	30842383.0	2049417.0
12-Kapa-100ng-4_S12_L007_R2_001	31182883.0	1708917.0
12-Kapa-100ng-4_S12_L008_R1_001	30735632.0	1891668.0
12-Kapa-100ng-4_S12_L008_R2_001	30800258.0	1827042.0
