Sample	Filename	sequence_length_distribution	overrepresented_sequences	sequence_duplication_levels	per_sequence_gc_content	File type	per_base_n_content	per_tile_sequence_quality	Encoding	adapter_content	total_deduplicated_percentage	kmer_content	Sequences flagged as poor quality	per_base_sequence_content	avg_sequence_length	Total Sequences	basic_statistics	per_base_sequence_quality	Sequence length	%GC	per_sequence_quality_scores
1-Swift2S-100ng-1_S5_L005_R1_001	1-Swift2S-100ng-1_S5_L005_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.45711842737175	fail	0.0	warn	151.0	56004333.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L005_R2_001	1-Swift2S-100ng-1_S5_L005_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.2718145086499	fail	0.0	warn	151.0	56004333.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L006_R1_001	1-Swift2S-100ng-1_S5_L006_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	89.9631024555231	fail	0.0	warn	151.0	56556213.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L006_R2_001	1-Swift2S-100ng-1_S5_L006_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.78037878426004	fail	0.0	warn	151.0	56556213.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L007_R1_001	1-Swift2S-100ng-1_S5_L007_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	90.50295923459166	fail	0.0	warn	151.0	55783639.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L007_R2_001	1-Swift2S-100ng-1_S5_L007_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.78917602362971	fail	0.0	warn	151.0	55783639.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L008_R1_001	1-Swift2S-100ng-1_S5_L008_R1_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	pass	Sanger / Illumina 1.9	fail	90.9241748204557	fail	0.0	warn	151.0	55927755.0	pass	pass	151.0	42.0	pass
1-Swift2S-100ng-1_S5_L008_R2_001	1-Swift2S-100ng-1_S5_L008_R2_001.fastq.gz	pass	fail	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	91.19357763276149	fail	0.0	warn	151.0	55927755.0	pass	pass	151.0	42.0	pass
10-Kapa-100ng-2_S10_L005_R1_001	10-Kapa-100ng-2_S10_L005_R1_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	93.74433782554378	warn	0.0	warn	151.0	25801617.0	pass	pass	151.0	41.0	pass
10-Kapa-100ng-2_S10_L005_R2_001	10-Kapa-100ng-2_S10_L005_R2_001.fastq.gz	pass	warn	pass	warn	Conventional base calls	pass	warn	Sanger / Illumina 1.9	fail	94.71498825894838	fail	0.0	warn	151.0	25801617.0	pass	pass	151.0	41.0	pass
