Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
1-Swift2S-100ng-1_S5_L005_R1_001	42.0	25.0	56004333.0	151.0	10.542881572628247
1-Swift2S-100ng-1_S5_L005_R2_001	42.0	25.0	56004333.0	151.0	9.728185491350104
1-Swift2S-100ng-1_S5_L006_R1_001	42.0	25.0	56556213.0	151.0	10.0368975444769
1-Swift2S-100ng-1_S5_L006_R2_001	42.0	25.0	56556213.0	151.0	9.219621215739963
1-Swift2S-100ng-1_S5_L007_R1_001	42.0	25.0	55783639.0	151.0	9.497040765408343
1-Swift2S-100ng-1_S5_L007_R2_001	42.0	25.0	55783639.0	151.0	8.210823976370293
1-Swift2S-100ng-1_S5_L008_R1_001	42.0	25.0	55927755.0	151.0	9.075825179544296
1-Swift2S-100ng-1_S5_L008_R2_001	42.0	25.0	55927755.0	151.0	8.806422367238511
10-Kapa-100ng-2_S10_L005_R1_001	41.0	8.333333333333332	25801617.0	151.0	6.255662174456219
10-Kapa-100ng-2_S10_L005_R2_001	41.0	16.666666666666664	25801617.0	151.0	5.285011741051619
10-Kapa-100ng-2_S10_L006_R1_001	41.0	8.333333333333332	25207432.0	151.0	6.468206983348821
10-Kapa-100ng-2_S10_L006_R2_001	42.0	16.666666666666664	25207432.0	151.0	4.954503948141792
10-Kapa-100ng-2_S10_L007_R1_001	41.0	16.666666666666664	24466845.0	151.0	6.054562634628724
10-Kapa-100ng-2_S10_L007_R2_001	42.0	16.666666666666664	24466845.0	151.0	4.710813604410191
10-Kapa-100ng-2_S10_L008_R1_001	41.0	16.666666666666664	24319484.0	151.0	5.71365856963827
10-Kapa-100ng-2_S10_L008_R2_001	42.0	16.666666666666664	24319484.0	151.0	5.401141078697236
11-Kapa-100ng-3_S11_L005_R1_001	41.0	16.666666666666664	28058818.0	151.0	6.5234959416876706
11-Kapa-100ng-3_S11_L005_R2_001	42.0	16.666666666666664	28058818.0	151.0	5.427273659762562
11-Kapa-100ng-3_S11_L006_R1_001	41.0	8.333333333333332	27342453.0	151.0	6.584009908373929
11-Kapa-100ng-3_S11_L006_R2_001	42.0	16.666666666666664	27342453.0	151.0	5.188365029914493
11-Kapa-100ng-3_S11_L007_R1_001	41.0	16.666666666666664	26530276.0	151.0	6.4503763528360025
11-Kapa-100ng-3_S11_L007_R2_001	42.0	16.666666666666664	26530276.0	151.0	5.094375815521431
11-Kapa-100ng-3_S11_L008_R1_001	41.0	16.666666666666664	26361730.0	151.0	5.944848881058121
11-Kapa-100ng-3_S11_L008_R2_001	42.0	16.666666666666664	26361730.0	151.0	5.710391093006081
12-Kapa-100ng-4_S12_L005_R1_001	41.0	16.666666666666664	34703918.0	151.0	6.5689613110554035
12-Kapa-100ng-4_S12_L005_R2_001	41.0	16.666666666666664	34703918.0	151.0	5.592055474812582
12-Kapa-100ng-4_S12_L006_R1_001	41.0	8.333333333333332	33879801.0	151.0	6.664189786430754
12-Kapa-100ng-4_S12_L006_R2_001	41.0	16.666666666666664	33879801.0	151.0	5.236203866956714
12-Kapa-100ng-4_S12_L007_R1_001	41.0	16.666666666666664	32891800.0	151.0	6.230784347575678
12-Kapa-100ng-4_S12_L007_R2_001	41.0	16.666666666666664	32891800.0	151.0	5.195574182349333
12-Kapa-100ng-4_S12_L008_R1_001	41.0	16.666666666666664	32627300.0	151.0	5.797808956034999
12-Kapa-100ng-4_S12_L008_R2_001	41.0	16.666666666666664	32627300.0	151.0	5.599736149907329
13-Kapa-10ng-1_S13_L005_R1_001	42.0	25.0	78043850.0	151.0	13.95555188939501
13-Kapa-10ng-1_S13_L005_R2_001	42.0	25.0	78043850.0	151.0	13.178542694205262
13-Kapa-10ng-1_S13_L006_R1_001	42.0	25.0	78509844.0	151.0	14.707855825803819
13-Kapa-10ng-1_S13_L006_R2_001	42.0	25.0	78509844.0	151.0	13.746637165241665
13-Kapa-10ng-1_S13_L007_R1_001	42.0	25.0	76468094.0	151.0	14.261144840775287
13-Kapa-10ng-1_S13_L007_R2_001	42.0	25.0	76468094.0	151.0	13.227657921279928
13-Kapa-10ng-1_S13_L008_R1_001	42.0	25.0	75575070.0	151.0	13.721008566472108
13-Kapa-10ng-1_S13_L008_R2_001	42.0	25.0	75575070.0	151.0	13.386277284674549
14-Kapa-10ng-2_S14_L005_R1_001	42.0	25.0	74480020.0	151.0	10.374311174730224
14-Kapa-10ng-2_S14_L005_R2_001	42.0	25.0	74480020.0	151.0	9.609978978181857
14-Kapa-10ng-2_S14_L006_R1_001	42.0	25.0	74447719.0	151.0	10.781018731593818
14-Kapa-10ng-2_S14_L006_R2_001	43.0	25.0	74447719.0	151.0	9.911476911494148
14-Kapa-10ng-2_S14_L007_R1_001	42.0	25.0	72432873.0	151.0	10.375480996981977
14-Kapa-10ng-2_S14_L007_R2_001	43.0	25.0	72432873.0	151.0	9.44243415665899
14-Kapa-10ng-2_S14_L008_R1_001	42.0	25.0	71472148.0	151.0	9.864455588570806
14-Kapa-10ng-2_S14_L008_R2_001	42.0	25.0	71472148.0	151.0	9.59348972349278
15-Kapa-10ng-3_S15_L005_R1_001	43.0	25.0	50399419.0	151.0	18.231750865233792
15-Kapa-10ng-3_S15_L005_R2_001	43.0	25.0	50399419.0	151.0	17.041304316094212
15-Kapa-10ng-3_S15_L006_R1_001	43.0	33.33333333333333	50695810.0	151.0	19.481003630163457
15-Kapa-10ng-3_S15_L006_R2_001	43.0	33.33333333333333	50695810.0	151.0	18.156098059497396
15-Kapa-10ng-3_S15_L007_R1_001	43.0	33.33333333333333	49349587.0	151.0	19.191410643610425
15-Kapa-10ng-3_S15_L007_R2_001	43.0	33.33333333333333	49349587.0	151.0	18.027648486506948
15-Kapa-10ng-3_S15_L008_R1_001	43.0	25.0	48666323.0	151.0	18.457358764765857
15-Kapa-10ng-3_S15_L008_R2_001	43.0	33.33333333333333	48666323.0	151.0	17.880203885272635
16-Kapa-10ng-4_S16_L005_R1_001	42.0	25.0	65261697.0	151.0	11.332551611752933
16-Kapa-10ng-4_S16_L005_R2_001	42.0	25.0	65261697.0	151.0	10.291034983777365
16-Kapa-10ng-4_S16_L006_R1_001	42.0	25.0	65746273.0	151.0	11.793449103807305
16-Kapa-10ng-4_S16_L006_R2_001	42.0	25.0	65746273.0	151.0	10.718075556691858
16-Kapa-10ng-4_S16_L007_R1_001	42.0	25.0	64055365.0	151.0	11.376070303128316
16-Kapa-10ng-4_S16_L007_R2_001	42.0	25.0	64055365.0	151.0	10.088400656747595
16-Kapa-10ng-4_S16_L008_R1_001	42.0	25.0	63225723.0	151.0	10.819989490663644
16-Kapa-10ng-4_S16_L008_R2_001	42.0	25.0	63225723.0	151.0	10.355069072800788
17-Quanta-100ng-1_S9_L005_R1_001	41.0	33.33333333333333	35272937.0	151.0	10.382258297466663
17-Quanta-100ng-1_S9_L005_R2_001	41.0	33.33333333333333	35272937.0	151.0	8.93429755517542
17-Quanta-100ng-1_S9_L006_R1_001	41.0	41.66666666666667	35007004.0	151.0	10.226225715909294
17-Quanta-100ng-1_S9_L006_R2_001	41.0	33.33333333333333	35007004.0	151.0	8.756047804580774
17-Quanta-100ng-1_S9_L007_R1_001	41.0	33.33333333333333	35049100.0	151.0	10.563458921117146
17-Quanta-100ng-1_S9_L007_R2_001	41.0	33.33333333333333	35049100.0	151.0	8.500698533602929
