#Coverage	Number of genomic locations
0.0	2.73667419E9
1.0	2.41203601E8
2.0	1.06779692E8
3.0	9975751.0
4.0	3941512.0
5.0	457823.0
6.0	213911.0
7.0	76324.0
8.0	66513.0
9.0	44094.0
10.0	43094.0
11.0	34997.0
12.0	34285.0
13.0	28972.0
14.0	29381.0
15.0	25075.0
16.0	24198.0
17.0	20723.0
18.0	16883.0
19.0	14528.0
20.0	13553.0
21.0	10628.0
22.0	10130.0
23.0	8221.0
24.0	7155.0
25.0	6364.0
26.0	5580.0
27.0	4320.0
28.0	4041.0
29.0	3459.0
30.0	2942.0
31.0	3194.0
32.0	2935.0
33.0	2437.0
34.0	2389.0
35.0	2011.0
36.0	2323.0
37.0	2064.0
38.0	1837.0
39.0	1924.0
40.0	1768.0
41.0	1581.0
42.0	1547.0
43.0	1431.0
44.0	1260.0
45.0	1348.0
46.0	1293.0
47.0	1370.0
48.0	1358.0
49.0	1419.0
50.0	1310.0
51.0	1274.0
52.0	1058.0
53.0	1152.0
54.0	975.0
55.0	1138.0
56.0	998.0
57.0	923.0
58.0	894.0
59.0	802.0
60.0	775.0
61.0	780.0
62.0	894.0
63.0	713.0
64.0	675.0
65.0	735.0
66.0	830.0
67.0	781.0
68.0	725.0
69.0	686.0
70.0	659.0
71.0	569.0
72.0	715.0
73.0	628.0
74.0	613.0
75.0	589.0
76.0	645.0
77.0	700.0
78.0	602.0
79.0	607.0
80.0	619.0
81.0	617.0
82.0	609.0
83.0	523.0
84.0	512.0
85.0	558.0
86.0	496.0
87.0	411.0
88.0	517.0
89.0	425.0
90.0	466.0
91.0	526.0
92.0	434.0
93.0	489.0
94.0	433.0
95.0	424.0
96.0	432.0
97.0	469.0
98.0	402.0
99.0	316.0
100.0	332.0
101.0	364.0
102.0	352.0
103.0	317.0
104.0	299.0
105.0	337.0
106.0	310.0
107.0	314.0
108.0	296.0
109.0	357.0
110.0	372.0
111.0	304.0
112.0	330.0
113.0	319.0
114.0	305.0
115.0	274.0
116.0	249.0
117.0	326.0
118.0	275.0
119.0	277.0
120.0	228.0
121.0	278.0
122.0	233.0
123.0	259.0
124.0	251.0
125.0	244.0
126.0	255.0
127.0	288.0
128.0	290.0
129.0	240.0
130.0	255.0
131.0	246.0
132.0	231.0
133.0	253.0
134.0	219.0
135.0	213.0
136.0	220.0
137.0	245.0
138.0	297.0
139.0	332.0
140.0	325.0
141.0	281.0
142.0	310.0
143.0	291.0
144.0	301.0
145.0	274.0
146.0	261.0
147.0	223.0
148.0	203.0
149.0	216.0
150.0	248.0
151.0	262.0
152.0	239.0
153.0	240.0
154.0	229.0
155.0	198.0
156.0	218.0
157.0	217.0
158.0	300.0
159.0	218.0
160.0	247.0
161.0	228.0
162.0	267.0
163.0	228.0
164.0	218.0
165.0	211.0
166.0	221.0
167.0	275.0
168.0	253.0
169.0	221.0
170.0	270.0
171.0	244.0
172.0	245.0
173.0	256.0
174.0	221.0
175.0	231.0
176.0	230.0
177.0	232.0
178.0	253.0
179.0	247.0
180.0	277.0
181.0	250.0
182.0	224.0
183.0	239.0
184.0	261.0
185.0	274.0
186.0	288.0
187.0	284.0
188.0	264.0
189.0	295.0
190.0	242.0
191.0	265.0
192.0	279.0
193.0	317.0
194.0	296.0
195.0	280.0
196.0	279.0
197.0	272.0
198.0	262.0
199.0	286.0
200.0	312.0
201.0	287.0
202.0	319.0
203.0	313.0
204.0	278.0
205.0	273.0
206.0	259.0
207.0	240.0
208.0	274.0
209.0	276.0
210.0	292.0
211.0	259.0
212.0	271.0
213.0	262.0
214.0	272.0
215.0	289.0
216.0	304.0
217.0	297.0
218.0	313.0
219.0	339.0
220.0	308.0
221.0	313.0
222.0	306.0
223.0	313.0
224.0	386.0
225.0	345.0
226.0	363.0
227.0	310.0
228.0	340.0
229.0	318.0
230.0	316.0
231.0	324.0
232.0	351.0
233.0	310.0
234.0	301.0
235.0	283.0
236.0	238.0
237.0	257.0
238.0	217.0
239.0	257.0
240.0	258.0
241.0	238.0
242.0	212.0
243.0	220.0
244.0	221.0
245.0	211.0
246.0	247.0
247.0	233.0
248.0	213.0
249.0	194.0
250.0	173.0
251.0	184.0
252.0	188.0
253.0	216.0
254.0	169.0
255.0	160.0
256.0	157.0
257.0	132.0
258.0	146.0
259.0	119.0
260.0	112.0
261.0	128.0
262.0	147.0
263.0	120.0
264.0	115.0
265.0	87.0
266.0	77.0
267.0	109.0
268.0	110.0
269.0	83.0
270.0	91.0
271.0	108.0
272.0	102.0
273.0	86.0
274.0	110.0
275.0	115.0
276.0	125.0
277.0	82.0
278.0	126.0
279.0	97.0
280.0	109.0
281.0	65.0
282.0	54.0
283.0	68.0
284.0	82.0
285.0	79.0
286.0	64.0
287.0	72.0
288.0	68.0
289.0	76.0
290.0	69.0
291.0	79.0
292.0	70.0
293.0	70.0
294.0	70.0
295.0	56.0
296.0	45.0
297.0	58.0
298.0	62.0
299.0	57.0
300.0	65.0
301.0	48.0
302.0	45.0
303.0	61.0
304.0	55.0
305.0	43.0
306.0	46.0
307.0	57.0
308.0	48.0
309.0	58.0
310.0	62.0
311.0	75.0
312.0	57.0
313.0	47.0
314.0	40.0
315.0	56.0
316.0	45.0
317.0	43.0
318.0	41.0
319.0	46.0
320.0	43.0
321.0	38.0
322.0	55.0
323.0	53.0
324.0	53.0
325.0	53.0
326.0	57.0
327.0	59.0
328.0	44.0
329.0	48.0
330.0	38.0
331.0	50.0
332.0	61.0
333.0	64.0
334.0	49.0
335.0	51.0
336.0	64.0
337.0	45.0
338.0	52.0
339.0	53.0
340.0	58.0
341.0	57.0
342.0	57.0
343.0	55.0
344.0	62.0
345.0	58.0
346.0	58.0
347.0	52.0
348.0	44.0
349.0	41.0
350.0	49.0
351.0	42.0
352.0	41.0
353.0	45.0
354.0	63.0
355.0	46.0
356.0	47.0
357.0	48.0
358.0	46.0
359.0	52.0
360.0	32.0
361.0	85.0
362.0	56.0
363.0	47.0
364.0	54.0
365.0	55.0
366.0	52.0
367.0	61.0
368.0	64.0
369.0	44.0
370.0	61.0
371.0	57.0
372.0	37.0
373.0	56.0
374.0	44.0
375.0	52.0
376.0	48.0
377.0	50.0
378.0	82.0
379.0	54.0
380.0	52.0
381.0	50.0
382.0	45.0
383.0	43.0
384.0	64.0
385.0	46.0
386.0	56.0
387.0	60.0
388.0	58.0
389.0	53.0
390.0	66.0
391.0	56.0
392.0	64.0
393.0	54.0
394.0	50.0
395.0	58.0
396.0	55.0
397.0	42.0
398.0	80.0
399.0	54.0
