#Duplication rate	Coverage
1.0	3054411.0
2.0	362164.0
3.0	8512.0
4.0	9480.0
5.0	2817.0
6.0	2110.0
7.0	1394.0
8.0	1162.0
9.0	892.0
10.0	714.0
11.0	533.0
12.0	471.0
13.0	387.0
14.0	365.0
15.0	270.0
16.0	275.0
17.0	194.0
18.0	185.0
19.0	196.0
20.0	179.0
21.0	136.0
22.0	123.0
23.0	105.0
24.0	105.0
25.0	96.0
26.0	88.0
27.0	92.0
28.0	66.0
29.0	65.0
30.0	57.0
31.0	57.0
32.0	50.0
33.0	53.0
34.0	36.0
35.0	44.0
36.0	42.0
37.0	46.0
38.0	32.0
39.0	35.0
40.0	36.0
41.0	20.0
42.0	24.0
43.0	23.0
44.0	36.0
45.0	23.0
46.0	30.0
47.0	17.0
48.0	15.0
49.0	16.0
50.0	891.0
