#Insert size (bp)	insert size
2.0	337.0
3.0	265.0
4.0	279.0
5.0	369.0
6.0	326.0
7.0	310.0
8.0	271.0
9.0	287.0
10.0	293.0
11.0	299.0
12.0	751.0
13.0	245.0
14.0	301.0
15.0	242.0
16.0	638.0
17.0	342.0
18.0	352.0
19.0	16628.0
20.0	15572.0
21.0	16816.0
22.0	3876.0
23.0	2902.0
24.0	1778.0
25.0	1708.0
26.0	683.0
27.0	634.0
28.0	676.0
29.0	567.0
30.0	648.0
31.0	714.0
32.0	788.0
33.0	854.0
34.0	910.0
35.0	972.0
36.0	1162.0
37.0	1174.0
38.0	1336.0
39.0	1484.0
40.0	1409.0
41.0	1553.0
42.0	1794.0
43.0	1794.0
44.0	1963.0
45.0	1956.0
46.0	2056.0
47.0	2110.0
48.0	2214.0
49.0	2356.0
50.0	2330.0
51.0	2471.0
52.0	2556.0
53.0	2789.0
54.0	2749.0
55.0	2739.0
56.0	2825.0
57.0	2952.0
58.0	3127.0
59.0	3055.0
60.0	3120.0
61.0	3213.0
62.0	3315.0
63.0	3289.0
64.0	3431.0
65.0	3497.0
66.0	3541.0
67.0	3695.0
68.0	3727.0
69.0	3743.0
70.0	3897.0
71.0	3811.0
72.0	3952.0
73.0	4046.0
74.0	4159.0
75.0	4138.0
76.0	4078.0
77.0	4126.0
78.0	4280.0
79.0	4316.0
80.0	4348.0
81.0	4415.0
82.0	4457.0
83.0	4581.0
84.0	4819.0
85.0	4807.0
86.0	4714.0
87.0	4681.0
88.0	4816.0
89.0	4993.0
90.0	5046.0
91.0	4951.0
92.0	5094.0
93.0	5110.0
94.0	5121.0
95.0	5340.0
96.0	5498.0
97.0	5483.0
98.0	5280.0
99.0	5451.0
100.0	5366.0
101.0	5417.0
102.0	5527.0
103.0	5495.0
104.0	5703.0
105.0	5607.0
106.0	5660.0
107.0	6077.0
108.0	5976.0
109.0	5871.0
110.0	6056.0
111.0	5761.0
112.0	6010.0
113.0	5920.0
114.0	6254.0
115.0	6147.0
116.0	6157.0
117.0	6289.0
118.0	6126.0
119.0	6360.0
120.0	6268.0
121.0	6384.0
122.0	6441.0
123.0	6437.0
124.0	6351.0
125.0	6282.0
126.0	6343.0
127.0	6224.0
128.0	6381.0
129.0	6503.0
130.0	6903.0
131.0	6552.0
132.0	6584.0
133.0	6664.0
134.0	6474.0
135.0	6701.0
136.0	6494.0
137.0	6492.0
138.0	6856.0
139.0	6669.0
140.0	6696.0
141.0	6624.0
142.0	6676.0
143.0	6911.0
144.0	6801.0
145.0	6824.0
146.0	6775.0
147.0	6828.0
148.0	6709.0
149.0	6824.0
150.0	6664.0
151.0	6814.0
152.0	6769.0
153.0	6652.0
154.0	6789.0
155.0	6782.0
156.0	6767.0
157.0	6672.0
158.0	6896.0
159.0	6761.0
160.0	6709.0
161.0	6761.0
162.0	6711.0
163.0	6958.0
164.0	6931.0
165.0	6769.0
166.0	6829.0
167.0	6746.0
168.0	6912.0
169.0	7037.0
170.0	6737.0
171.0	7067.0
172.0	6645.0
173.0	6842.0
174.0	6864.0
175.0	6992.0
176.0	6849.0
177.0	6897.0
178.0	6981.0
179.0	6843.0
180.0	7045.0
181.0	7197.0
182.0	7010.0
183.0	6700.0
184.0	6868.0
185.0	6846.0
186.0	6768.0
187.0	6981.0
188.0	6889.0
189.0	6923.0
190.0	6840.0
191.0	6855.0
192.0	6918.0
193.0	6790.0
194.0	7093.0
195.0	6985.0
196.0	6916.0
197.0	6893.0
198.0	6922.0
199.0	6825.0
200.0	6722.0
201.0	7035.0
202.0	7076.0
203.0	6783.0
204.0	6940.0
205.0	6961.0
206.0	6807.0
207.0	6783.0
208.0	6980.0
209.0	6892.0
210.0	6716.0
211.0	6732.0
