#GC Content (%)	Sample
1.0	5.277314357699772E-5
2.0	3.234482993428892E-5
3.0	1.872595417248306E-5
4.0	3.574954887474039E-5
5.0	1.872595417248306E-5
6.0	3.4047189404514656E-5
7.0	1.872595417248306E-5
8.0	1.0214156821354397E-5
9.0	6.298730039835212E-5
10.0	3.9154267815191856E-5
11.0	2.2130673112934528E-5
12.0	6.809437880902932E-6
13.0	3.745190834496612E-5
14.0	5.4475503047223454E-5
15.0	1.3618875761805864E-5
16.0	1.5321235232031595E-5
17.0	2.0428313642708794E-5
18.0	8.001089510060945E-5
19.0	0.001996867658574785
20.0	0.012393176943243336
21.0	0.015634469374553133
22.0	0.008891423512989003
23.0	0.010261822886520718
24.0	0.009286370910081372
25.0	0.007284396173095911
26.0	0.003214054679786184
27.0	0.0026216335841476287
28.0	0.0038320111674781244
29.0	0.007209492356405979
30.0	0.010629532532089477
31.0	0.015964727111776923
32.0	0.0219434135712097
33.0	0.028790303360457594
34.0	0.03763065608933982
35.0	0.04476524462905587
36.0	0.05141295836028735
37.0	0.05801981546423343
38.0	0.06058867590480406
39.0	0.06116747812468081
40.0	0.05874842531749004
41.0	0.05475128528140001
42.0	0.05160702733989309
43.0	0.047158762044193246
44.0	0.04134009737496169
45.0	0.036709679615947705
46.0	0.03280106227230942
47.0	0.02898777705900378
48.0	0.02579415069286031
49.0	0.022494978039562834
50.0	0.019297946954478905
51.0	0.018065438698035476
52.0	0.012469783119403492
53.0	0.011727554390385073
54.0	0.009926458070886247
55.0	0.008627557795104017
56.0	0.007338871676143135
57.0	0.006339586667120629
58.0	0.005364134690681284
59.0	0.004490824282455484
60.0	0.003901807905757379
61.0	0.0034779203976711723
62.0	0.00262503830308808
63.0	0.0022845664090429332
64.0	0.0019270709202955296
65.0	0.0016393721698273805
66.0	0.0012069728643900445
67.0	9.397024275646045E-4
68.0	6.826461475605189E-4
69.0	5.566715467638147E-4
70.0	3.5579312927717824E-4
71.0	2.911034694086003E-4
72.0	2.1109257430799086E-4
73.0	2.1109257430799088E-4
74.0	1.3618875761805863E-4
75.0	1.3108167920738143E-4
76.0	1.0214156821354398E-4
77.0	8.34156140410609E-5
78.0	1.0724864662422116E-4
79.0	6.128494092812638E-5
80.0	3.4047189404514656E-5
81.0	4.4261346225869055E-5
82.0	3.574954887474039E-5
83.0	3.9154267815191856E-5
84.0	2.5535392053385994E-5
85.0	2.894011099383746E-5
86.0	2.2130673112934528E-5
87.0	1.191651629158013E-5
88.0	1.191651629158013E-5
89.0	3.404718940451466E-6
90.0	1.702359470225733E-6
91.0	3.404718940451466E-6
92.0	1.0214156821354397E-5
93.0	8.511797351128664E-6
94.0	5.4475503047223454E-5
95.0	5.617786251744919E-5
96.0	1.1576044397534983E-4
97.0	1.1065336556467263E-4
98.0	7.149909774948077E-5
99.0	5.4475503047223454E-5
100.0	1.702359470225733E-4
