#Mapping quality	mapping quality
0.0	5454112.0
1.0	138477.0
2.0	116043.0
3.0	179191.0
4.0	133314.0
5.0	149742.0
6.0	210973.0
7.0	198150.0
8.0	170502.0
9.0	200743.0
10.0	100679.0
11.0	99106.0
12.0	162394.0
13.0	161111.0
14.0	112623.0
15.0	156515.0
16.0	125502.0
17.0	130427.0
18.0	160091.0
19.0	153234.0
20.0	212851.0
21.0	188760.0
22.0	252892.0
23.0	167236.0
24.0	296721.0
25.0	405772.0
26.0	76883.0
27.0	900433.0
28.0	76783.0
29.0	72263.0
30.0	184746.0
31.0	129978.0
32.0	114914.0
33.0	144091.0
34.0	95731.0
35.0	82488.0
36.0	142501.0
37.0	118577.0
38.0	67095.0
39.0	168281.0
40.0	2211802.0
41.0	223372.0
42.0	271032.0
43.0	322505.0
44.0	299088.0
45.0	438186.0
46.0	455264.0
47.0	542951.0
48.0	894778.0
49.0	232804.0
50.0	540908.0
51.0	260054.0
52.0	335265.0
53.0	355789.0
54.0	397078.0
55.0	306091.0
56.0	291551.0
57.0	453821.0
58.0	310312.0
59.0	395746.0
60.0	3.41498029E8
