#Duplication rate	Coverage
1.0	5265626.0
2.0	820859.0
3.0	18928.0
4.0	20868.0
5.0	6515.0
6.0	5440.0
7.0	3758.0
8.0	3267.0
9.0	2406.0
10.0	2256.0
11.0	1736.0
12.0	1582.0
13.0	1283.0
14.0	1202.0
15.0	980.0
16.0	954.0
17.0	803.0
18.0	800.0
19.0	636.0
20.0	632.0
21.0	564.0
22.0	523.0
23.0	454.0
24.0	455.0
25.0	416.0
26.0	398.0
27.0	360.0
28.0	350.0
29.0	303.0
30.0	305.0
31.0	306.0
32.0	264.0
33.0	244.0
34.0	248.0
35.0	230.0
36.0	223.0
37.0	219.0
38.0	208.0
39.0	166.0
40.0	171.0
41.0	138.0
42.0	122.0
43.0	130.0
44.0	140.0
45.0	134.0
46.0	129.0
47.0	119.0
48.0	116.0
49.0	117.0
50.0	4322.0
