#Insert size (bp)	insert size
2.0	484.0
3.0	423.0
4.0	504.0
5.0	795.0
6.0	568.0
7.0	515.0
8.0	364.0
9.0	437.0
10.0	442.0
11.0	473.0
12.0	488.0
13.0	398.0
14.0	424.0
15.0	422.0
16.0	437.0
17.0	670.0
18.0	630.0
19.0	53911.0
20.0	47992.0
21.0	58776.0
22.0	10329.0
23.0	7173.0
24.0	4902.0
25.0	4426.0
26.0	1565.0
27.0	1092.0
28.0	1164.0
29.0	835.0
30.0	831.0
31.0	761.0
32.0	912.0
33.0	908.0
34.0	1001.0
35.0	1087.0
36.0	1206.0
37.0	1203.0
38.0	1300.0
39.0	1498.0
40.0	1568.0
41.0	1740.0
42.0	2019.0
43.0	2007.0
44.0	2374.0
45.0	2498.0
46.0	2688.0
47.0	2742.0
48.0	3021.0
49.0	3277.0
50.0	3521.0
51.0	3674.0
52.0	3920.0
53.0	4193.0
54.0	4498.0
55.0	4772.0
56.0	5030.0
57.0	5343.0
58.0	5514.0
59.0	5920.0
60.0	6093.0
61.0	6430.0
62.0	6660.0
63.0	6870.0
64.0	7613.0
65.0	7441.0
66.0	7825.0
67.0	7957.0
68.0	8501.0
69.0	8818.0
70.0	8955.0
71.0	9062.0
72.0	9604.0
73.0	9832.0
74.0	10562.0
75.0	10392.0
76.0	10542.0
77.0	10852.0
78.0	11103.0
79.0	11709.0
80.0	11657.0
81.0	11810.0
82.0	12142.0
83.0	12622.0
84.0	13181.0
85.0	13087.0
86.0	13249.0
87.0	13320.0
88.0	13507.0
89.0	14190.0
90.0	14442.0
91.0	14254.0
92.0	14385.0
93.0	14681.0
94.0	15234.0
95.0	16117.0
96.0	15525.0
97.0	15340.0
98.0	15637.0
99.0	15981.0
100.0	16182.0
101.0	16055.0
102.0	16215.0
103.0	16721.0
104.0	17046.0
105.0	16684.0
106.0	16905.0
107.0	17292.0
108.0	17547.0
109.0	17798.0
110.0	17746.0
111.0	17496.0
112.0	17842.0
113.0	17707.0
114.0	18234.0
115.0	18084.0
116.0	18408.0
117.0	18161.0
118.0	18318.0
119.0	18318.0
120.0	18434.0
121.0	18372.0
122.0	18572.0
123.0	18490.0
124.0	18804.0
125.0	18415.0
126.0	18410.0
127.0	18418.0
128.0	18316.0
129.0	18735.0
130.0	19856.0
131.0	18831.0
132.0	18462.0
133.0	18786.0
134.0	18980.0
135.0	18984.0
136.0	18802.0
137.0	18819.0
138.0	19133.0
139.0	18853.0
140.0	19113.0
141.0	18562.0
142.0	18757.0
143.0	19123.0
144.0	19007.0
145.0	18702.0
146.0	19004.0
147.0	18830.0
148.0	19126.0
149.0	18719.0
150.0	18798.0
151.0	18600.0
152.0	18160.0
153.0	18157.0
154.0	18445.0
155.0	18314.0
156.0	18194.0
157.0	18005.0
158.0	18024.0
159.0	18651.0
160.0	18054.0
161.0	18274.0
162.0	17932.0
163.0	17691.0
164.0	18075.0
165.0	17987.0
166.0	17774.0
167.0	17444.0
168.0	17773.0
169.0	17902.0
170.0	17924.0
171.0	17425.0
172.0	17248.0
173.0	17182.0
174.0	17562.0
175.0	17278.0
176.0	17211.0
177.0	16957.0
178.0	16858.0
179.0	17572.0
180.0	16915.0
181.0	16902.0
182.0	17067.0
183.0	16518.0
184.0	16666.0
185.0	16809.0
186.0	16595.0
187.0	16860.0
188.0	16428.0
189.0	16256.0
190.0	16433.0
191.0	16024.0
192.0	15715.0
193.0	15936.0
194.0	16032.0
195.0	15770.0
196.0	15769.0
197.0	15961.0
198.0	15387.0
199.0	15406.0
200.0	15443.0
201.0	15351.0
202.0	15471.0
203.0	15327.0
204.0	15150.0
205.0	14678.0
206.0	14725.0
207.0	14431.0
208.0	14570.0
209.0	14485.0
210.0	14443.0
211.0	14333.0
212.0	14241.0
213.0	14107.0
214.0	14065.0
215.0	13792.0
216.0	13824.0
217.0	13602.0
218.0	13495.0
219.0	13510.0
220.0	13609.0
221.0	13285.0
222.0	13415.0
223.0	13342.0
224.0	13052.0
225.0	13125.0
226.0	13083.0
227.0	12980.0
228.0	12838.0
229.0	12709.0
230.0	12517.0
231.0	12642.0
232.0	12558.0
233.0	12438.0
234.0	12566.0
235.0	12314.0
236.0	12291.0
237.0	12371.0
238.0	11951.0
239.0	12285.0
240.0	11586.0
241.0	11689.0
242.0	11760.0
243.0	11618.0
244.0	11709.0
245.0	11447.0
246.0	11425.0
247.0	11231.0
248.0	11288.0
249.0	11157.0
250.0	10956.0
251.0	10866.0
252.0	10970.0
253.0	11158.0
254.0	10969.0
255.0	10647.0
256.0	10372.0
257.0	10477.0
258.0	10348.0
259.0	10567.0
260.0	10366.0
261.0	10351.0
262.0	10263.0
263.0	10096.0
264.0	10005.0
265.0	10006.0
266.0	10024.0
267.0	9895.0
268.0	9619.0
269.0	9603.0
270.0	9618.0
271.0	9734.0
272.0	9422.0
273.0	9173.0
274.0	9033.0
275.0	9202.0
276.0	9217.0
277.0	9047.0
278.0	9045.0
279.0	8886.0
280.0	8828.0
281.0	8845.0
282.0	8812.0
283.0	8603.0
284.0	8559.0
285.0	8637.0
286.0	8272.0
287.0	8534.0
288.0	8252.0
289.0	8379.0
290.0	8189.0
291.0	8034.0
292.0	8065.0
293.0	7886.0
294.0	8001.0
295.0	7926.0
296.0	7869.0
297.0	7753.0
298.0	7463.0
299.0	7432.0
300.0	7586.0
301.0	7622.0
302.0	7522.0
303.0	7375.0
304.0	7118.0
305.0	7377.0
306.0	7108.0
307.0	7211.0
308.0	7124.0
309.0	7051.0
310.0	7003.0
311.0	6889.0
312.0	6685.0
313.0	6896.0
314.0	6802.0
315.0	6736.0
316.0	6743.0
317.0	6733.0
318.0	6360.0
319.0	6358.0
320.0	6356.0
321.0	6356.0
322.0	6293.0
323.0	6075.0
324.0	6227.0
325.0	5955.0
326.0	5908.0
327.0	5959.0
328.0	6069.0
329.0	6014.0
330.0	5717.0
331.0	5664.0
332.0	5649.0
333.0	5704.0
334.0	5797.0
335.0	5429.0
336.0	5643.0
337.0	5389.0
338.0	5395.0
339.0	5282.0
340.0	5217.0
341.0	5233.0
342.0	5124.0
343.0	5160.0
344.0	5112.0
345.0	4904.0
346.0	4805.0
347.0	4858.0
348.0	4885.0
349.0	4883.0
350.0	4658.0
351.0	4738.0
352.0	4588.0
353.0	4613.0
354.0	4559.0
355.0	4593.0
356.0	4419.0
357.0	4329.0
358.0	4391.0
359.0	4359.0
360.0	4215.0
361.0	4282.0
362.0	4212.0
363.0	4215.0
364.0	4096.0
365.0	4042.0
366.0	4058.0
367.0	3900.0
368.0	3926.0
369.0	3922.0
370.0	3852.0
371.0	3754.0
372.0	3761.0
373.0	3730.0
374.0	3687.0
375.0	3705.0
376.0	3631.0
377.0	3649.0
378.0	3483.0
379.0	3446.0
380.0	3512.0
381.0	3498.0
382.0	3349.0
383.0	3413.0
384.0	3243.0
385.0	3195.0
386.0	3291.0
387.0	3226.0
388.0	3212.0
389.0	2897.0
390.0	3145.0
391.0	3101.0
392.0	3041.0
393.0	2928.0
394.0	3122.0
395.0	2934.0
396.0	2915.0
397.0	2848.0
398.0	2743.0
399.0	2766.0
400.0	2696.0
401.0	2667.0
402.0	2676.0
403.0	2627.0
404.0	2668.0
405.0	2702.0
406.0	2614.0
407.0	2514.0
408.0	2525.0
409.0	2515.0
410.0	2352.0
411.0	2391.0
412.0	2495.0
413.0	2286.0
414.0	2293.0
415.0	2355.0
416.0	2292.0
417.0	2355.0
418.0	2265.0
419.0	2306.0
420.0	2156.0
421.0	2202.0
422.0	2161.0
423.0	2142.0
424.0	2084.0
425.0	2116.0
426.0	2056.0
427.0	2022.0
428.0	2019.0
429.0	1888.0
430.0	1953.0
431.0	1832.0
432.0	1941.0
433.0	1898.0
434.0	1756.0
435.0	1765.0
436.0	1827.0
437.0	1825.0
438.0	1679.0
439.0	1935.0
440.0	1814.0
441.0	1650.0
442.0	1688.0
443.0	1592.0
444.0	1536.0
445.0	1580.0
446.0	1517.0
447.0	1572.0
448.0	1471.0
449.0	1516.0
450.0	1519.0
451.0	1455.0
452.0	1480.0
453.0	1391.0
454.0	1422.0
455.0	1445.0
456.0	1335.0
457.0	1375.0
458.0	1312.0
459.0	1323.0
460.0	1258.0
461.0	1269.0
462.0	1300.0
463.0	1268.0
464.0	1201.0
465.0	1237.0
466.0	1183.0
467.0	1175.0
468.0	1118.0
469.0	1134.0
470.0	1102.0
471.0	1147.0
472.0	1127.0
473.0	1108.0
474.0	1075.0
475.0	1044.0
476.0	1062.0
477.0	1048.0
478.0	1002.0
479.0	1077.0
480.0	1014.0
481.0	971.0
482.0	993.0
483.0	966.0
484.0	958.0
485.0	905.0
486.0	912.0
487.0	850.0
488.0	922.0
489.0	879.0
490.0	867.0
491.0	883.0
492.0	858.0
493.0	831.0
494.0	817.0
495.0	816.0
496.0	819.0
497.0	824.0
498.0	847.0
499.0	778.0
500.0	809.0
501.0	785.0
502.0	720.0
503.0	711.0
504.0	750.0
505.0	705.0
506.0	682.0
507.0	691.0
508.0	685.0
509.0	649.0
510.0	655.0
511.0	643.0
512.0	658.0
513.0	615.0
514.0	598.0
515.0	627.0
516.0	605.0
