#Mapping quality	mapping quality
0.0	9812431.0
1.0	254036.0
2.0	204897.0
3.0	281627.0
4.0	222075.0
5.0	210758.0
6.0	291972.0
7.0	314609.0
8.0	241924.0
9.0	328021.0
10.0	163564.0
11.0	157381.0
12.0	227418.0
13.0	272421.0
14.0	172485.0
15.0	240115.0
16.0	185913.0
17.0	186924.0
18.0	216934.0
19.0	233185.0
20.0	355968.0
21.0	279641.0
22.0	326736.0
23.0	254707.0
24.0	437348.0
25.0	583963.0
26.0	140743.0
27.0	1292844.0
28.0	148900.0
29.0	122160.0
30.0	320944.0
31.0	202110.0
32.0	177245.0
33.0	263477.0
34.0	163608.0
35.0	146118.0
36.0	205710.0
37.0	216832.0
38.0	146262.0
39.0	269398.0
40.0	2864015.0
41.0	355528.0
42.0	413074.0
43.0	493997.0
44.0	474236.0
45.0	674789.0
46.0	733801.0
47.0	936449.0
48.0	1419746.0
49.0	454112.0
50.0	947818.0
51.0	451490.0
52.0	566708.0
53.0	609717.0
54.0	641675.0
55.0	493432.0
56.0	461373.0
57.0	664713.0
58.0	513017.0
59.0	668713.0
60.0	5.44478317E8
